addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
경기도 화성시,875987,455268,420719,815396,422470,392926
경기도 광주시,385808,197056,188752,372654,190774,181880
경기도 양주시,235828,119603,116225,222314,112775,109539
경기도 포천시,148296,78594,69702,148379,78231,70148
경기도 여주시,112289,57131,55158,111083,56427,54656
경기도 연천군,42942,22507,20435,43824,22962,20862
경기도 가평군,62383,32137,30246,62415,32042,30373
경기도 양평군,120954,60817,60137,116874,58654,58220
강원도 춘천시,282714,139628,143086,281291,138700,142591
강원도 원주시,355767,176452,179315,349215,173425,175790
강원도 강릉시,213025,105698,107327,213442,105893,107549
강원도 동해시,90056,45716,44340,90522,45845,44677
강원도 태백시,41295,20936,20359,43866,22168,21698
강원도 속초시,82391,40847,41544,81786,40420,41366
강원도 삼척시,63825,32250,31575,67228,34038,33190
강원도 홍천군,68489,35273,33216,69150,35359,33791
강원도 횡성군,46635,23922,22713,46575,23785,22790
강원도 영월군,38055,19719,18336,39127,20143,18984
강원도 평창군,41050,21057,19993,42106,21550,20556
강원도 정선군,35838,18664,17174,37271,19360,17911
강원도 철원군,43691,22693,20998,45584,23767,21817
강원도 화천군,24342,13223,11119,24917,13495,11422
강원도 양구군,21972,11565,10407,22764,12082,10682
강원도 인제군,32034,17378,14656,31672,17143,14529
강원도 고성군,27005,13899,13106,27260,14114,13146
강원도 양양군,28086,14340,13746,27726,14099,13627
충청북도 청주시,847965,427378,420587,839566,422864,416702
충청북도 서원구,193176,95937,97239,203209,100853,102356
충청북도 청원구,193881,99634,94247,195868,100247,95621
충청북도 상당구,193628,96217,97411,178352,88765,89587
충청북도 흥덕구,267280,135590,131690,262137,132999,129138
충청북도 충주시,209546,106027,103519,210737,106569,104168
충청북도 제천시,132090,66375,65715,134617,67459,67158
충청북도 보은군,32004,16126,15878,32949,16531,16418
충청북도 옥천군,50287,25333,24954,51023,25707,25316
충청북도 영동군,46139,23006,23133,48738,24181,24557
충청북도 증평군,36406,18984,17422,37392,19350,18042
충청북도 진천군,84904,44558,40346,81084,42388,38696
충청북도 괴산군,37101,19060,18041,39163,20013,19150
충청북도 음성군,92224,48801,43423,94982,50264,44718
충청북도 단양군,28513,14447,14066,29756,15058,14698
충청남도 당진시,166805,88687,78118,167042,88299,78743
충청남도 천안시,657250,335811,321439,652258,332447,319811
충청남도 동남구,255532,129501,126031,259411,131586,127825
충청남도 서북구,401718,206310,195408,392847,200861,191986
충청남도 공주시,103386,51672,51714,106474,53343,53131
충청남도 보령시,98726,50108,48618,101114,51146,49968
충청남도 아산시,322158,167478,154680,314395,162694,151701
충청남도 서산시,176360,92005,84355,174690,90348,84342
충청남도 논산시,115155,57567,57588,118842,59406,59436
충청남도 계룡시,43279,21544,21735,42971,21338,21633
충청남도 금산군,50783,25632,25151,52257,26309,25948
충청남도 부여군,64220,31913,32307,66740,33049,33691
충청남도 서천군,51036,25203,25833,52805,26110,26695
충청남도 청양군,30429,15475,14954,31717,15997,15720
충청남도 홍성군,99465,49537,49928,100423,49931,50492
충청남도 예산군,77241,38840,38401,79238,39806,39432
충청남도 태안군,61890,31192,30698,62743,31715,31028
전라북도 전주시,657577,323515,334062,654394,322236,332158
전라북도 완산구,337747,164490,173257,338839,165180,173659
전라북도 덕진구,319830,159025,160805,315555,157056,158499
전라북도 군산시,266026,134677,131349,270131,136421,133710
전라북도 익산시,279517,139265,140252,287771,143392,144379
전라북도 정읍시,107169,53242,53927,110541,54736,55805
전라북도 남원시,79933,39220,40713,81441,39884,41557
전라북도 김제시,81347,40383,40964,83895,41624,42271
전라북도 완주군,91223,46887,44336,92220,47290,44930
전라북도 진안군,25063,12683,12380,25697,12966,12731
전라북도 무주군,23834,11866,11968,24303,12090,12213
전라북도 장수군,21811,10882,10929,22441,11165,11276
전라북도 임실군,26873,13748,13125,28902,14659,14243
전라북도 순창군,27120,13266,13854,28382,13756,14626
전라북도 고창군,53739,26676,27063,55504,27418,28086
전라북도 부안군,51244,25466,25778,53295,26473,26822
전라남도 목포시,219944,109535,110409,229861,114565,115296
전라남도 여수시,277752,141667,136085,282786,143791,138995
전라남도 순천시,281878,140664,141214,279598,139324,140274
전라남도 나주시,116670,58844,57826,114664,57668,56996
전라남도 광양시,150643,78647,71996,156750,81365,75385
전라남도 담양군,46314,23497,22817,46535,23719,22816
전라남도 곡성군,27754,13619,14135,28887,14114,14773
