"경기도",가평군,소계,853,31.8,1.7,32.5,1.9
"경기도",고양시,소계,2758,28.9,1.0,29.9,0.9
"경기도",고양시,덕양구,909,30.2,1.7,31.4,1.5
"경기도",고양시,일산동구,939,26.6,1.4,27.2,1.6
"경기도",고양시,일산서구,910,29.3,1.5,30.2,1.7
"경기도",과천시,소계,899,22.6,1.6,22.9,1.5
"경기도",구리시,소계,910,27.9,1.6,29.2,1.6
"경기도",김포시,소계,906,34.6,1.6,34.9,1.6
"경기도",남양주시,소계,1805,33.4,1.3,33.5,1.2
"경기도",남양주시,남양주,913,32.3,1.7,32.5,1.6
"경기도",남양주시,남양주 풍양,892,35.5,1.8,35.3,1.7
"경기도",동두천시,소계,917,36.3,1.8,35.5,1.8
"경기도",부천시,소계,2750,31.7,1.0,32.1,1.0
"경기도",부천시,소사구,913,32.5,1.6,32.0,1.6
"경기도",부천시,오정구,921,33.0,1.4,33.3,1.8
"경기도",부천시,원미구,916,30.6,1.6,31.6,1.7
"경기도",양주시,소계,901,33.3,1.6,31.8,1.6
"경기도",양평군,소계,907,31.8,1.8,33.7,2.0
"경기도",여주시,소계,907,34.7,1.8,35.5,2.0
"경기도",연천군,소계,895,33.1,2.0,33.1,2.3
"경기도",의정부시,소계,907,34.8,1.7,35.2,1.9
"경기도",이천시,소계,911,35.0,1.8,34.7,1.6
"경기도",파주시,소계,891,30.7,1.9,30.6,1.7
"경기도",포천시,소계,890,37.5,1.9,39.2,2.1
"경기도",하남시,소계,905,31.9,1.9,30.9,1.7
"경기도",광명시,소계,908,30.6,1.4,29.3,1.5
"경기도",광주시,소계,915,28.2,1.6,27.3,1.6
"경기도",군포시,소계,889,28.5,1.8,28.1,1.7
"경기도",성남시,소계,2712,27.4,1.0,27.3,0.9
"경기도",성남시,분당구,910,26.0,1.6,26.6,1.4
"경기도",성남시,수정구,917,28.8,1.5,28.6,1.4
"경기도",성남시,중원구,885,28.7,1.7,28.2,1.7
"경기도",수원시,소계,3645,31.5,0.8,31.6,0.8
"경기도",수원시,권선구,926,34.1,1.5,33.8,1.5
"경기도",수원시,영통구,905,27.7,1.6,27.7,1.5
"경기도",수원시,장안구,906,35.7,1.8,35.7,1.6
"경기도",수원시,팔달구,908,27.4,1.8,27.2,1.6
"경기도",시흥시,소계,909,33.4,1.8,33.1,1.5
"경기도",안산시,소계,1826,34.1,1.3,34.6,1.2
"경기도",안산시,단원구,915,32.2,1.8,32.3,1.7
"경기도",안산시,상록구,911,35.7,1.8,36.7,1.6
"경기도",안성시,소계,895,34.0,1.7,34.4,1.8
"경기도",안양시,소계,1811,32.2,1.1,32.5,1.1
"경기도",안양시,동안구,908,29.7,1.5,29.8,1.5
"경기도",안양시,만안구,903,35.3,1.6,36.0,1.7
"경기도",오산시,소계,906,32.8,1.8,32.1,1.6
"경기도",용인시,소계,2695,29.2,0.9,29.3,0.9
"경기도",용인시,기흥구,900,29.2,1.4,29.2,1.4
"경기도",용인시,수지구,909,24.8,1.7,25.7,1.5
"경기도",용인시,처인구,886,35.6,1.8,34.7,1.7
"경기도",의왕시,소계,917,30.7,1.8,30.9,1.6
"경기도",평택시,소계,1829,33.2,1.3,32.8,1.3
"경기도",평택시,송탄,912,34.8,2.0,34.7,1.7
"경기도",평택시,평택,917,32.4,1.6,31.7,1.8
"경기도",화성시,소계,916,34.0,1.7,33.5,1.5
"강원도",소계,소계,15572,32.5,0.6,32.6,0.6
"강원도",강릉시,소계,880,34.9,1.6,36.7,1.7
"강원도",고성군,소계,833,27.9,1.4,26.6,2.2
"강원도",동해시,소계,884,32.5,1.6,33.0,2.2
"강원도",삼척시,소계,873,34.7,1.9,36.0,2.0
"강원도",속초시,소계,885,29.7,1.6,29.2,1.8
"강원도",양구군,소계,855,34.4,1.6,33.5,1.9
"강원도",양양군,소계,844,34.7,1.5,33.4,2.2
"강원도",영월군,소계,871,31.2,1.4,30.0,2.5
"강원도",원주시,소계,891,28.7,1.8,28.5,1.5
"강원도",인제군,소계,818,36.3,2.0,35.6,2.0
"강원도",정선군,소계,875,34.7,1.8,34.9,2.5
"강원도",철원군,소계,838,38.5,1.9,40.9,2.2
"강원도",춘천시,소계,884,31.7,1.7,31.2,1.6
"강원도",태백시,소계,867,37.1,1.9,38.4,2.1
"강원도",평창군,소계,866,35.0,1.8,36.2,2.4
"강원도",홍천군,소계,884,36.1,2.0,37.4,2.1
"강원도",화천군,소계,845,36.8,2.3,37.6,2.5
"강원도",횡성군,소계,879,33.5,1.9,34.8,2.5
"충청북도",소계,소계,12042,32.1,0.6,32.4,0.6
"충청북도",괴산군,소계,854,32.0,1.7,33.7,2.7
"충청북도",단양군,소계,827,35.4,2.0,37.4,2.9
"충청북도",보은군,소계,764,35.7,1.9,39.9,2.8
"충청북도",영동군,소계,867,29.7,2.0,31.4,2.4
"충청북도",옥천군,소계,852,31.4,1.8,34.2,2.4
"충청북도",음성군,소계,869,37.2,1.5,38.2,1.9
"충청북도",제천시,소계,874,29.0,1.8,28.8,1.8
"충청북도",증평군,소계,813,36.6,1.6,35.5,1.7
"충청북도",진천군,소계,863,34.5,1.8,34.4,1.8
"충청북도",청주시,소계,3581,31.2,0.9,31.3,0.8
"충청북도",청주시,상당구,897,31.6,1.5,32.6,1.6
"충청북도",청주시,서원구,899,29.5,1.8,29.6,1.6
"충청북도",청주시,흥덕구,887,31.8,1.9,31.6,1.6
"충청북도",청주시,청원구,898,31.6,1.8,31.1,1.5
"충청북도",충주시,소계,878,33.6,1.8,35.1,1.8
"충청남도",소계,소계,13335,31.4,0.6,31.6,0.7
"충청남도",계룡시,소계,865,31.1,1.8,31.2,1.7
"충청남도",공주시,소계,896,28.7,1.7,30.0,2.1
"충청남도",금산군,소계,883,26.8,1.9,30.4,2.4
"충청남도",논산시,소계,890,27.1,1.6,26.0,2.1
"충청남도",당진시,소계,899,37.6,1.5,37.0,2.1
"충청남도",보령시,소계,886,32.0,2.0,32.2,2.4
"충청남도",부여군,소계,884,28.1,2.2,29.2,2.4
"충청남도",서산시,소계,900,33.5,1.8,33.2,1.9
"충청남도",서천군,소계,886,33.8,1.6,43.5,3.3
"충청남도",아산시,소계,901,30.9,1.8,30.6,1.7
"충청남도",예산군,소계,895,32.9,1.9,34.2,2.2
"충청남도",천안시,소계,904,31.3,1.4,31.0,1.6
"충청남도",청양군,소계,856,30.7,1.5,33.0,2.8
"충청남도",태안군,소계,893,30.2,2.1,31.5,2.5
"충청남도",홍성군,소계,897,30.7,1.8,33.8,2.1
"전라북도",소계,소계,11547,29.3,0.6,29.2,0.8
"전라북도",고창군,소계,855,31.2,2.0,32.8,2.6
"전라북도",군산시,소계,899,29.1,1.7,27.7,1.7
"전라북도",김제시,소계,893,28.7,1.8,28.3,2.2
"전라북도",남원시,소계,791,28.8,1.9,29.4,2.5
"전라북도",무주군,소계,741,30.5,1.7,29.4,2.4
"전라북도",부안군,소계,769,35.7,1.9,36.0,2.3
"전라북도",순창군,소계,735,31.3,2.1,34.3,2.8
"전라북도",완주군,소계,833,29.1,2.0,28.1,2.0
"전라북도",익산시,소계,891,29.5,1.6,30.2,1.8
"전라북도",임실군,소계,781,25.3,2.1,28.2,2.7
"전라북도",장수군,소계,801,28.4,1.9,32.1,2.6
"전라북도",전주시,소계,900,28.5,1.1,28.7,1.6
"전라북도",정읍시,소계,874,30.2,1.5,32.3,2.1
"전라북도",진안군,소계,784,31.0,2.2,33.0,3.0
"전라남도",소계,소계,18584,30.7,0.5,31.4,0.6
"전라남도",강진군,소계,803,31.0,1.9,35.6,2.8
"전라남도",고흥군,소계,859,30.5,1.8,31.1,2.6
"전라남도",곡성군,소계,737,31.2,1.9,32.3,3.1
"전라남도",광양시,소계,896,31.5,2.1,32.0,1.9
