addr,smoking,drinking,w_control,nutirition,stressed,depressed
경남 남해군,19.0(2.1),53.7(2.8),59.2(2.5),94.0(2.2),21.7(2.5),3.3(0.9)
경남 창원시,18.4(0.8),59.7(1.1),68.8(1.0),72.5(4.5),26.2(1.0),5.8(0.5)
경남 창원시,19.8(1.6),56.8(2.1),68.7(1.8),73.3(6.0),27.0(1.7),8.5(1.2)
경남 창원시,20.7(1.6),64.8(1.5),69.5(1.6),86.8(2.3),26.2(1.7),5.1(0.8)
경남 창원시,16.5(1.2),59.7(1.5),68.3(1.6),83.2(5.5),25.6(1.6),4.1(0.7)
경남 밀양시,21.4(1.8),52.5(2.3),70.8(2.0),75.9(2.9),25.7(2.0),5.4(1.0)
경남 사천시,20.5(1.8),58.1(2.2),57.5(2.3),84.5(2.8),30.8(2.1),7.8(1.1)
경남 산청군,21.9(2.1),46.5(2.8),53.0(2.5),93.1(2.0),18.6(2.3),5.4(1.2)
경남 양산시,21.2(1.4),58.1(1.7),65.3(1.6),89.1(5.2),28.0(1.7),7.2(0.9)
경남 의령군,21.2(2.1),53.8(2.9),62.8(2.9),92.2(2.0),18.4(2.5),5.1(1.2)
경남 진주시,17.1(1.2),61.6(1.6),62.3(1.7),74.8(5.2),29.9(1.6),5.8(1.0)
경남 창녕군,19.5(1.8),40.9(2.5),76.9(2.0),75.9(6.1),15.1(1.9),1.6(0.7)*
경남 통영시,19.3(1.6),55.3(1.9),71.0(1.8),84.2(2.0),20.6(1.8),3.9(0.8)
경남 하동군,19.6(2.1),52.0(3.1),49.4(2.8),84.9(2.6),27.3(2.8),4.7(1.5)
경남 함안군,15.5(1.5),56.4(2.0),72.0(1.9),78.0(4.6),27.2(2.3),1.9(0.6)
경남 함양군,14.9(1.8),51.5(2.5),59.8(2.3),87.4(2.7),23.7(2.6),4.6(1.1)
경남 합천군,22.1(2.3),56.3(2.8),56.5(2.8),88.7(1.8),20.3(2.9),2.3(0.9)*
제주 서귀포시,19.7(1.1),54.0(1.5),66.1(1.3),89.7(2.1),24.7(1.2),5.7(0.7)
제주 서귀포시,19.5(1.6),52.7(2.2),67.4(1.8),86.1(3.3),23.4(1.8),5.3(0.9)
제주 서귀포시,21.0(1.9),56.5(2.3),64.4(2.0),82.8(2.9),29.4(2.1),7.0(1.2)
제주 서귀포시,18.9(1.2),55.0(2.0),63.5(2.1),,22.5(1.7),5.3(1.5)*
제주 제주시,18.4(1.1),55.5(1.5),77.9(1.1),,26.2(1.3),3.8(0.6)
제주 제주시,18.0(1.3),56.0(1.8),81.5(1.4),,26.0(1.5),3.1(0.7)
제주 제주시,24.1(1.9),51.2(2.3),68.4(2.1),,31.8(2.3),6.1(1.3)
제주 제주시,17.3(1.5),54.4(2.1),67.1(2.0),,25.4(1.8),6.6(0.9)
