addr,smoking,drinking,w_control,nutirition,stressed,depressed
인천 연수구,17.2(1.4),56.7(1.7),73.8(1.6),86.0(2.5),29.4(1.6),5.9(0.8)
인천 옹진군,22.0(2.0),58.2(2.8),64.9(2.4),86.7(3.1),29.3(2.7),5.4(0.9)
인천 중구,20.5(1.4),53.5(1.8),64.4(1.8),81.5(3.3),28.4(1.8),7.1(0.9)
광주 광산구,17.1(1.2),48.6(1.5),54.4(1.8),70.7(2.5),27.1(1.5),4.8(0.8)
광주 남구,19.4(1.4),52.9(1.8),77.6(1.5),90.4(1.9),27.2(1.7),6.0(0.9)
광주 동구,17.7(1.3),53.7(1.9),76.2(1.7),85.1(2.8),29.9(2.0),4.7(0.8)
광주 북구,19.6(1.3),54.5(1.5),67.5(1.6),79.5(2.3),26.7(1.6),3.7(0.6)
광주 서구,18.9(1.3),56.2(1.5),60.3(1.6),73.5(2.7),28.3(1.6),4.4(0.6)
대전 대덕구,20.3(1.4),53.1(1.8),71.3(1.7),78.4(2.6),28.3(1.7),5.5(1.0)
대전 동구,22.2(1.3),57.4(1.8),61.2(1.8),86.6(2.4),18.2(1.6),3.4(0.7)
대전 서구,14.8(1.3),56.8(1.6),73.9(1.4),94.7(1.4),18.5(1.3),3.7(0.6)
대전 유성구,13.5(1.1),56.1(1.5),70.9(1.6),93.4(1.4),29.7(1.6),6.2(0.9)
대전 중구,21.8(1.6),58.4(1.8),64.5(1.7),81.7(2.8),27.7(1.7),5.5(0.8)
울산 남구,20.3(1.4),58.8(1.8),73.9(1.6),90.7(1.6),27.8(1.7),7.0(0.9)
울산 동구,22.5(1.4),57.4(1.8),72.6(1.7),80.8(2.6),26.5(1.7),9.2(1.2)
울산 북구,18.0(1.2),55.4(1.6),68.8(1.6),78.1(2.8),27.8(1.5),6.2(0.9)
울산 울주군,20.0(1.5),55.4(1.9),51.9(1.8),83.2(3.3),20.2(1.7),1.4(0.4)*
울산 중구,19.6(1.4),58.9(1.6),71.3(1.7),81.2(2.8),25.1(1.7),4.0(0.7)
세종 세종시,15.6(1.3),47.4(1.7),63.9(1.8),90.7(2.3),24.1(1.6),6.1(0.8)
경기 가평군,20.5(1.6),51.6(2.2),52.1(2.2),86.9(3.2),20.1(1.8),3.5(0.8)
경기 고양시,17.7(0.8),58.0(1.0),67.4(1.0),84.6(1.3),31.1(1.0),6.1(0.5)
경기 고양시,18.7(1.3),61.5(1.6),64.8(1.7),80.5(2.1),31.9(1.6),6.2(0.9)
경기 고양시,16.8(1.4),57.1(1.7),66.5(1.7),86.2(2.2),34.5(1.7),6.6(0.8)
경기 고양시,17.0(1.2),53.2(1.8),72.5(1.5),90.7(2.0),26.3(1.6),5.5(0.8)
경기 과천시,11.4(1.2),56.0(1.8),74.2(1.6),91.2(1.8),26.5(1.6),5.7(0.9)
경기 구리시,17.3(1.3),56.2(1.8),71.4(1.5),66.8(3.2),30.7(1.8),3.3(0.7)
경기 김포시,18.5(1.3),56.1(1.7),73.1(1.5),85.9(2.2),34.2(1.7),8.7(1.0)
경기 남양주시,20.4(1.0),53.5(1.3),72.2(1.2),83.9(1.7),29.7(1.2),6.8(0.7)
경기 남양주시,21.0(1.4),54.0(1.7),73.4(1.6),84.2(2.3),29.3(1.6),7.0(0.9)
경기 남양주시,19.1(1.4),52.4(1.8),69.8(1.7),83.1(2.4),30.5(1.7),6.6(0.9)
경기 동두천시,21.3(1.5),49.0(2.0),74.2(1.6),97.0(1.2),25.6(1.9),3.8(0.7)
경기 부천시,20.1(0.8),57.2(1.1),65.2(1.0),85.5(1.5),32.2(1.1),6.3(0.6)
경기 부천시,16.9(1.3),53.1(1.7),65.4(1.6),88.9(2.0),29.2(1.6),3.4(0.7)
경기 부천시,21.3(1.7),56.2(1.9),64.6(1.7),79.9(2.9),34.7(1.8),6.7(1.0)
경기 부천시,21.4(1.3),59.7(1.7),65.2(1.6),85.0(2.6),32.9(1.7),7.8(1.0)
경기 양주시,22.3(1.7),49.5(2.0),63.0(1.8),72.2(3.7),22.5(1.7),6.4(0.9)
경기 양평군,21.0(1.6),60.0(2.1),60.9(2.0),87.6(3.0),28.2(2.0),9.4(1.2)
