"행정구역(시군구)별",2021. 08,2021. 08,2021. 08,2019,2019,2019,2020,2020,2020
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"성남시",931931,461612,470319,942724,466644,476080,940064,465407,474657
"수정구",235720,119326,116394,234678,118631,116047,241701,122204,119497
"중원구",213784,108332,105452,220041,111444,108597,216131,109444,106687
"분당구",482427,233954,248473,488005,236569,251436,482232,233759,248473
"의정부시",463373,228349,235024,451868,222590,229278,461710,227342,234368
"안양시",548491,271131,277360,567044,280652,286392,550027,271936,278091
"만안구",239071,119678,119393,244235,122326,121909,239413,119864,119549
"동안구",309420,151453,157967,322809,158326,164483,310614,152072,158542
"부천시",809559,401353,408206,829996,412500,417496,818383,406023,412360
"광명시",295335,145603,149732,316552,156405,160147,298599,147278,151321
"평택시",554511,288302,266209,513027,264012,249015,537307,277617,259690
"송탄출장소",0,0,0,-,-,-,0,0,0
"안중출장소",0,0,0,-,-,-,0,0,0
"동두천시",93414,46627,46787,94768,47308,47460,94353,47038,47315
"안산시",654477,335701,318776,650918,333766,317152,654915,335804,319111
"상록구",352166,179726,172440,344613,175789,168824,351888,179452,172436
"단원구",302311,155975,146336,306305,157977,148328,303027,156352,146675
"고양시",1080896,528972,551924,1066351,522749,543602,1079216,528480,550736
"덕양구",481641,237826,243815,466157,230858,235299,476962,235773,241189
"일산동구",299985,145977,154008,297671,144991,152680,299716,145874,153842
"일산서구",299270,145169,154101,302523,146900,155623,302538,146833,155705
"과천시",69640,34223,35417,58289,28638,29651,63231,31068,32163
"구리시",193662,96074,97588,199265,98968,100297,197454,97939,99515
"남양주시",727221,361913,365308,701830,349664,352166,713321,355197,358124
"풍양출장소",0,0,0,-,-,-,0,0,0
"오산시",230555,119590,110965,226379,116904,109475,229725,118785,110940
"시흥시",511807,267236,244571,473682,247804,225878,500895,261730,239165
"군포시",269752,133758,135994,275852,136878,138974,273791,135834,137957
"의왕시",163510,81300,82210,161153,80353,80800,163795,81470,82325
"하남시",310365,155478,154887,272455,136985,135470,293452,147424,146028
"용인시",1080325,536223,544102,1059609,525946,533663,1074176,532847,541329
"처인구",262030,134681,127349,253896,130034,123862,257498,131974,125524
"기흥구",441375,217896,223479,436679,215796,220883,440835,217663,223172
"수지구",376920,183646,193274,369034,180116,188918,375843,183210,192633
"파주시",476044,241438,234606,454040,230461,223579,465617,236049,229568
"이천시",222883,115596,107287,215834,111244,104590,218388,112947,105441
"안성시",189641,97911,91730,183405,94227,89178,187012,96355,90657
"김포시",485221,242792,242429,437221,219552,217669,473970,237507,236463
"화성시",875987,455268,420719,815396,422470,392926,855248,443841,411407
"화성시동부출장소",0,0,0,-,-,-,0,0,0
"화성시동탄출장소",0,0,0,-,-,-,0,0,0
"광주시",385808,197056,188752,372654,190774,181880,382054,195298,186756
