,addr,smoking,drinking,w_control,nutirition,stressed,depressed
36,부산수영,18.5,58.1,67.4,85.9,28.0,6.2
37,부산연제,17.3,58.0,77.5,92.5,27.7,9.6
38,부산영도,20.3,53.9,74.6,69.6,20.7,5.9
39,부산중구,28.1,57.8,67.7,75.0,25.3,8.2
40,부산해운대,15.9,52.8,69.8,85.1,26.2,6.0
41,대구남구,24.9,49.0,66.0,71.4,17.7,3.1
42,대구달서,18.3,49.2,75.4,92.7,24.1,6.4
43,대구달성,17.4,54.6,71.2,83.2,25.5,8.8
44,대구동구,18.6,47.5,63.9,78.5,19.0,3.3
45,대구북구,21.6,53.7,64.7,83.9,24.2,4.6
46,대구서구,24.1,56.8,61.1,86.4,25.3,4.1
47,대구수성,17.1,48.5,66.8,91.1,22.0,5.3
48,대구중구,16.3,58.3,65.6,77.8,25.8,6.7
49,인천강화,21.2,47.0,65.6,89.8,23.6,1.6
50,인천계양,20.6,55.4,68.5,83.5,34.7,11.8
51,인천남구,25.7,63.0,68.5,77.3,36.1,8.1
52,인천남동,19.3,53.9,69.5,83.2,28.4,5.7
53,인천동구,23.9,54.3,65.7,77.5,32.1,7.3
54,인천부평,17.6,50.8,65.6,83.7,35.2,7.8
55,인천서구,20.7,55.1,69.3,79.9,36.1,10.5
56,인천연수,17.2,56.7,73.8,86.0,29.4,5.9
57,인천옹진,22.0,58.2,64.9,86.7,29.3,5.4
58,인천중구,20.5,53.5,64.4,81.5,28.4,7.1
59,광주광산,17.1,48.6,54.4,70.7,27.1,4.8
60,광주남구,19.4,52.9,77.6,90.4,27.2,6.0
61,광주동구,17.7,53.7,76.2,85.1,29.9,4.7
62,광주북구,19.6,54.5,67.5,79.5,26.7,3.7
63,광주서구,18.9,56.2,60.3,73.5,28.3,4.4
64,대전대덕,20.3,53.1,71.3,78.4,28.3,5.5
65,대전동구,22.2,57.4,61.2,86.6,18.2,3.4
66,대전서구,14.8,56.8,73.9,94.7,18.5,3.7
67,대전유성,13.5,56.1,70.9,93.4,29.7,6.2
68,대전중구,21.8,58.4,64.5,81.7,27.7,5.5
69,울산남구,20.3,58.8,73.9,90.7,27.8,7.0
70,울산동구,22.5,57.4,72.6,80.8,26.5,9.2
71,울산북구,18.0,55.4,68.8,78.1,27.8,6.2
72,울산울주,20.0,55.4,51.9,83.2,20.2,1.4
73,울산중구,19.6,58.9,71.3,81.2,25.1,4.0
74,세종 세종시,15.6,47.4,63.9,90.7,24.1,6.1
75,가평,20.5,51.6,52.1,86.9,20.1,3.5
76,고양,17.7,58.0,67.4,84.6,31.1,6.1
80,과천,11.4,56.0,74.2,91.2,26.5,5.7
81,구리,17.3,56.2,71.4,66.8,30.7,3.3
82,김포,18.5,56.1,73.1,85.9,34.2,8.7
83,남양주,20.4,53.5,72.2,83.9,29.7,6.8
86,동두천,21.3,49.0,74.2,97.0,25.6,3.8
87,부천,20.1,57.2,65.2,85.5,32.2,6.3
91,양주,22.3,49.5,63.0,72.2,22.5,6.4
92,양평,21.0,60.0,60.9,87.6,28.2,9.4
93,여주,23.2,53.4,64.9,86.0,25.5,5.4
94,연천,25.1,51.9,62.4,73.2,23.5,5.3
95,의정부,23.8,58.2,59.6,84.0,27.2,8.6
96,이천,22.1,56.8,68.7,78.8,32.0,9.3
97,파주,20.5,49.5,73.6,88.7,28.1,6.0
98,포천,24.7,57.4,55.6,80.7,28.3,7.2
99,하남,17.5,55.8,73.7,79.8,26.6,1.6
100,광명,16.3,48.5,70.3,84.1,30.4,3.7
101,광주,21.5,56.4,61.3,91.6,22.5,2.0
102,군포,13.1,57.8,71.9,81.2,27.9,7.0
103,성남,16.0,56.4,65.0,83.3,27.7,5.6
107,수원,16.9,58.3,69.7,87.2,27.4,6.4
112,시흥,21.7,52.9,63.9,74.9,33.8,8.9
113,안산,23.8,57.9,66.3,80.4,32.2,9.3
