,addr,obesity_1,obesity_2,x,y,광역시도,행정구역
138,원주,28.7,28.5,10,7,강원도,원주시
139,인제,36.3,35.6,9,2,강원도,인제군
140,정선,34.7,34.9,11,6,강원도,정선군
141,철원,38.5,40.9,6,0,강원도,철원군
142,춘천,31.7,31.2,10,3,강원도,춘천시
143,태백,37.1,38.4,11,7,강원도,태백시
144,평창,35.0,36.2,10,6,강원도,평창군
145,홍천,36.1,37.4,10,4,강원도,홍천군
146,화천,36.8,37.6,7,0,강원도,화천군
147,횡성,33.5,34.8,10,5,강원도,횡성군
148,괴산,32.0,33.7,7,11,충청북도,괴산군
149,단양,35.4,37.4,7,10,충청북도,단양군
150,보은,35.7,39.9,7,12,충청북도,보은군
151,영동,29.7,31.4,6,14,충청북도,영동군
152,옥천,31.4,34.2,6,13,충청북도,옥천군
153,음성,37.2,38.2,5,10,충청북도,음성군
154,제천,29.0,28.8,8,10,충청북도,제천시
155,증평,36.6,35.5,6,11,충청북도,증평군
156,진천,34.5,34.4,5,11,충청북도,진천군
157,청주,31.2,31.3,6,12,충청북도,청주시
162,충주,33.6,35.1,6,10,충청북도,충주시
163,계룡,31.1,31.2,4,12,충청남도,계룡시
164,공주,28.7,30.0,4,10,충청남도,공주시
165,금산,26.8,30.4,3,13,충청남도,금산군
166,논산,27.1,26.0,3,12,충청남도,논산시
167,당진,37.6,37.0,2,9,충청남도,당진시
168,보령,32.0,32.2,2,11,충청남도,보령시
169,부여,28.1,29.2,2,12,충청남도,부여군
170,서산,33.5,33.2,1,10,충청남도,서산시
171,서천,33.8,43.5,2,13,충청남도,서천군
172,아산,30.9,30.6,3,9,충청남도,아산시
173,예산,32.9,34.2,3,10,충청남도,예산군
174,천안,31.3,31.0,4,9,충청남도,천안시
175,청양,30.7,33.0,3,11,충청남도,청양군
176,태안,30.2,31.5,1,9,충청남도,태안군
177,홍성,30.7,33.8,2,10,충청남도,홍성군
178,고창,31.2,32.8,1,16,전라북도,고창군
179,군산,29.1,27.7,2,14,전라북도,군산시
180,김제,28.7,28.3,3,15,전라북도,김제시
181,남원,28.8,29.4,5,17,전라북도,남원시
182,무주,30.5,29.4,5,15,전라북도,무주군
183,부안,35.7,36.0,2,15,전라북도,부안군
184,순창,31.3,34.3,3,17,전라북도,순창군
185,완주,29.1,28.1,4,15,전라북도,완주군
186,익산,29.5,30.2,3,14,전라북도,익산시
187,임실,25.3,28.2,4,17,전라북도,임실군
188,장수,28.4,32.1,5,16,전라북도,장수군
189,전주,28.5,28.7,3,16,전라북도,전주시
190,정읍,30.2,32.3,2,16,전라북도,정읍시
191,진안,31.0,33.0,4,16,전라북도,진안군
192,강진,31.0,35.6,1,22,전라남도,강진군
193,고흥,30.5,31.1,3,22,전라남도,고흥군
194,곡성,31.2,32.3,3,18,전라남도,곡성군
195,광양,31.5,32.0,5,20,전라남도,광양시
196,구례,31.3,29.5,4,18,전라남도,구례군
197,나주,30.7,32.4,1,20,전라남도,나주시
198,담양,28.3,27.5,2,18,전라남도,담양군
199,목포,34.6,34.8,0,20,전라남도,목포시
200,무안,32.2,34.5,1,19,전라남도,무안군
201,보성,27.0,30.8,3,21,전라남도,보성군
202,순천,28.5,28.9,4,20,전라남도,순천시
203,신안,27.9,25.8,0,19,전라남도,신안군
204,여수,31.5,30.6,4,21,전라남도,여수시
205,영광,31.2,33.9,1,17,전라남도,영광군
206,영암,31.4,32.6,1,21,전라남도,영암군
207,완도,28.4,31.8,2,23,전라남도,완도군
208,장성,32.6,33.4,2,17,전라남도,장성군
209,장흥,28.9,28.7,2,22,전라남도,장흥군
210,진도,28.2,32.1,0,22,전라남도,진도군
211,함평,25.2,25.8,1,18,전라남도,함평군
212,해남,31.3,30.0,0,21,전라남도,해남군
213,화순,28.9,31.2,4,19,전라남도,화순군
214,경산,29.0,30.1,11,12,경상북도,경산시
215,경주,28.5,28.1,12,12,경상북도,경주시
216,고령,30.0,32.6,7,13,경상북도,고령군
217,구미,30.7,31.2,9,10,경상북도,구미시
220,군위,26.5,31.3,9,11,경상북도,군위군
221,김천,26.8,27.8,8,11,경상북도,김천시
222,문경,26.0,27.1,9,8,경상북도,문경시
223,봉화,27.4,33.1,11,9,경상북도,봉화군
224,상주,25.3,27.2,8,9,경상북도,상주시
225,성주,31.7,36.1,8,12,경상북도,성주군
226,안동,31.2,33.1,10,10,경상북도,안동시
227,영덕,32.9,36.2,12,10,경상북도,영덕군
228,영양,28.2,28.9,11,10,경상북도,영양군
229,영주,28.3,26.1,10,9,경상북도,영주시
230,영천,29.7,33.4,10,12,경상북도,영천시
231,예천,32.8,33.5,9,9,경상북도,예천군
232,울릉,34.2,32.9,13,6,경상북도,울릉군
233,울진,30.8,31.2,12,9,경상북도,울진군
234,의성,28.8,32.4,10,11,경상북도,의성군
235,청도,27.9,31.3,8,13,경상북도,청도군
236,청송,28.5,34.4,11,11,경상북도,청송군
237,칠곡,32.4,32.4,9,12,경상북도,칠곡군
238,포항,31.3,31.6,12,11,경상북도,포항시
241,거제,31.5,30.9,9,20,경상남도,거제시
242,거창,26.5,28.1,6,15,경상남도,거창군
243,고성(경남),28.2,28.5,7,19,경상남도,고성군
244,김해,30.1,30.8,8,19,경상남도,김해시
245,남해,27.1,32.7,6,19,경상남도,남해군
246,창원,30.0,30.7,7,18,경상남도,창원시
250,밀양,28.9,30.7,8,16,경상남도,밀양시
251,사천,28.8,29.8,6,18,경상남도,사천시
252,산청,26.0,31.0,5,18,경상남도,산청군
253,양산,34.2,34.2,8,17,경상남도,양산시
254,의령,27.4,30.5,7,16,경상남도,의령군
255,진주,27.4,28.3,6,17,경상남도,진주시
256,창녕,26.1,28.9,7,15,경상남도,창녕군
257,통영,30.9,30.8,8,20,경상남도,통영시
258,하동,24.8,28.9,5,19,경상남도,하동군
259,함안,26.8,28.1,7,17,경상남도,함안군
260,함양,27.4,30.3,6,16,경상남도,함양군
261,합천,30.0,33.9,7,14,경상남도,합천군
262,서귀포,36.5,36.7,4,25,제주특별자치도,서귀포시
266,제주,34.2,34.4,4,24,제주특별자치도,제주시
