addr,smoking,drinking,w_control,nutirition,stressed,depressed
서울종로,15.2,56,71.2,86,28.6,4.9
서울중구,17.1,43.1,74.1,87.6,29.7,3.1
서울중랑,20.2,59.5,71.1,83.2,35.1,8.1
서천,19.1,42.9,64,88.6,27.1,8.7
성남,16,56.4,65,83.3,27.7,5.6
성주,19,46.1,61.5,75.3,15.8,3.1
세종,15.6,47.4,63.9,90.7,24.1,6.1
속초,21.3,53.6,69.5,81.1,16.3,1.6
수원,16.9,58.3,69.7,87.2,27.4,6.4
순창,20.7,51.2,59.6,86.3,19.4,3.7
순천,14.1,52.5,63.7,89.8,21,2.8
시흥,21.7,52.9,63.9,74.9,33.8,8.9
신안,24.1,57.2,47.9,82.9,6.2,2.3
아산,22.3,55.3,67.1,86,26,5.2
안동,21,57.4,71.1,85.3,25.4,5.9
안산,23.8,57.9,66.3,80.4,32.2,9.3
안성,24.1,57.5,63.2,78.7,25.8,9.7
안양,16.5,57.7,67.3,84.3,30,6.9
양구,20.8,52.5,62.6,87.6,24.2,5.7
양산,21.2,58.1,65.3,89.1,28,7.2
양양,20.6,51.9,61.9,78.8,20.2,3
양주,22.3,49.5,63,72.2,22.5,6.4
양평,21,60,60.9,87.6,28.2,9.4
여수,20.4,58.7,66.4,75.2,20.7,6.3
여주,23.2,53.4,64.9,86,25.5,5.4
연천,25.1,51.9,62.4,73.2,23.5,5.3
영광,16.8,49.2,62.4,95.1,24.8,8.6
영덕,19.2,47.3,63.7,69.5,17.5,4
영동,14.5,49.2,57,83.1,18.1,4.9
영암,17.7,43.6,57.4,58.8,28.7,2.2
영양,20.9,54.9,44.8,74.4,24.2,3
영월,22.7,54.1,58.4,90,30.8,5
영주,23.5,51.7,52.2,84,24.4,5.1
영천,24.3,52,61.8,77.4,28.7,6.7
예산,21.9,51.3,58.8,88.6,29.1,3.3
예천,16.9,53,62.2,81,26.9,5.9
오산,23.6,55.6,67.4,75.2,28.4,6.1
옥천,18.1,51.7,70.1,85.4,29.4,7.7
완도,24.7,56.7,52.9,69,24.1,3.6
완주,18.6,57.7,68.7,75.2,23.8,2.8
용인,16.3,56.1,66.9,84.3,25.1,4.4
울릉,25.6,55.3,56,73.4,21.3,0.4
울산남구,20.3,58.8,73.9,90.7,27.8,7
울산동구,22.5,57.4,72.6,80.8,26.5,9.2
울산북구,18,55.4,68.8,78.1,27.8,6.2
울산울주,20,55.4,51.9,83.2,20.2,1.4
울산중구,19.6,58.9,71.3,81.2,25.1,4
울진,19.3,46.6,59.5,77.7,16.8,3.4
원주,24.3,57.9,64.2,84.7,32.7,4.2
음성,24.1,53.6,62.7,77.9,28,9
의령,21.2,53.8,62.8,92.2,18.4,5.1
의성,21.2,42.5,54,88,15.4,11.7
의왕,20.3,58.3,73.8,76.9,28.8,7.3
의정부,23.8,58.2,59.6,84,27.2,8.6
이천,22.1,56.8,68.7,78.8,32,9.3
익산,17.9,48.3,64.7,75,24.4,2.5
인제,21.5,50.8,60.2,80.2,23.3,3.3
인천강화,21.2,47,65.6,89.8,23.6,1.6
인천계양,20.6,55.4,68.5,83.5,34.7,11.8
인천남구,25.7,63,68.5,77.3,36.1,8.1
인천남동,19.3,53.9,69.5,83.2,28.4,5.7
인천동구,23.9,54.3,65.7,77.5,32.1,7.3
인천부평,17.6,50.8,65.6,83.7,35.2,7.8
인천서구,20.7,55.1,69.3,79.9,36.1,10.5
인천연수,17.2,56.7,73.8,86,29.4,5.9
인천옹진,22,58.2,64.9,86.7,29.3,5.4
인천중구,20.5,53.5,64.4,81.5,28.4,7.1
임실,21.8,47.6,49.4,83.9,30.1,4.9
장성,19.6,45.9,60.7,77.6,23.2,9
장수,22.2,49.6,43.2,70.9,14.1,4.9
장흥,25,39.3,47.7,80.4,26.6,3.5
전주,20.1,52.8,67.3,69.3,30.8,6.5
정선,24.7,60.8,55.9,86.9,22,5.9
정읍,21.4,50.6,66.2,76.3,26.5,4.6
제주,18.4,55.5,77.9,0,26.2,3.8
제천,20.7,56,65.4,80.9,25.4,6.8
증평,29.3,64.3,65.1,86.6,25.9,5.8
진도,18.6,42.9,68.2,72.7,12.3,1.3
진안,19.2,41.2,58.2,95.9,22.6,5.8
진주,17.1,61.6,62.3,74.8,29.9,5.8
진천,23.1,57.2,67.5,81.9,33,6
창녕,19.5,40.9,76.9,75.9,15.1,1.6
창원,18.4,59.7,68.8,72.5,26.2,5.8
천안,19,56.2,69.9,81.5,31.3,6.1
철원,21.4,51.9,67,81.2,23.9,3
청도,20.1,47.9,54,70.1,30,6.5
청송,23.5,46.3,60.1,80.7,22.4,2.4
청양,20.3,50.5,56.1,78.7,31.9,5.7
청주,19.6,53.3,64.8,88.6,25.6,5.5
춘천,18,58.6,70.1,90.3,33.1,8.8
충주,22.4,62.2,70.1,77,29.3,9.3
칠곡,20.7,52.8,63.9,80.1,24.7,6
태백,26.7,60.3,62.9,78,25.3,6
태안,20.4,51.2,59.8,79.1,28.4,5.7
통영,19.3,55.3,71,84.2,20.6,3.9
파주,20.5,49.5,73.6,88.7,28.1,6
평창,19.9,57.3,67.4,84.7,24.6,7.5
평택,21.1,58.5,71.2,83.7,28.9,6.6
포천,24.7,57.4,55.6,80.7,28.3,7.2
포항,19.6,59.7,68.2,87.8,24.8,4.6
하남,17.5,55.8,73.7,79.8,26.6,1.6
하동,19.6,52,49.4,84.9,27.3,4.7
함안,15.5,56.4,72,78,27.2,1.9
함양,14.9,51.5,59.8,87.4,23.7,4.6
함평,21.8,44.7,46.8,83.4,15.6,2.3
합천,22.1,56.3,56.5,88.7,20.3,2.3
해남,21.2,54.2,55.9,80.9,25.9,4.3
홍성,16.4,47.8,61.1,68.9,29.7,6.5
홍천,23.2,57.9,64,72.6,22.4,7.8
화성,17.5,54.3,68.2,84.1,30.3,4.9
화순,21.3,44.9,61.4,81.1,30.3,8.9
화천,21.7,49.2,60,89.9,21.5,4.1
횡성,18.8,48.8,57,72.6,22.5,7.7
