,addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
129,보은,32004,16126,15878,32949,16531,16418
130,옥천,50287,25333,24954,51023,25707,25316
131,영동,46139,23006,23133,48738,24181,24557
132,증평,36406,18984,17422,37392,19350,18042
133,진천,84904,44558,40346,81084,42388,38696
134,괴산,37101,19060,18041,39163,20013,19150
135,음성,92224,48801,43423,94982,50264,44718
136,단양,28513,14447,14066,29756,15058,14698
137,당진,166805,88687,78118,167042,88299,78743
138,천안,657250,335811,321439,652258,332447,319811
139,공주,103386,51672,51714,106474,53343,53131
140,보령,98726,50108,48618,101114,51146,49968
141,아산,322158,167478,154680,314395,162694,151701
142,서산,176360,92005,84355,174690,90348,84342
143,논산,115155,57567,57588,118842,59406,59436
144,계룡,43279,21544,21735,42971,21338,21633
145,금산,50783,25632,25151,52257,26309,25948
146,부여,64220,31913,32307,66740,33049,33691
147,서천,51036,25203,25833,52805,26110,26695
148,청양,30429,15475,14954,31717,15997,15720
149,홍성,99465,49537,49928,100423,49931,50492
150,예산,77241,38840,38401,79238,39806,39432
151,태안,61890,31192,30698,62743,31715,31028
152,전주,657577,323515,334062,654394,322236,332158
153,군산,266026,134677,131349,270131,136421,133710
154,익산,279517,139265,140252,287771,143392,144379
155,정읍,107169,53242,53927,110541,54736,55805
156,남원,79933,39220,40713,81441,39884,41557
157,김제,81347,40383,40964,83895,41624,42271
158,완주,91223,46887,44336,92220,47290,44930
159,진안,25063,12683,12380,25697,12966,12731
160,무주,23834,11866,11968,24303,12090,12213
161,장수,21811,10882,10929,22441,11165,11276
162,임실,26873,13748,13125,28902,14659,14243
163,순창,27120,13266,13854,28382,13756,14626
164,고창,53739,26676,27063,55504,27418,28086
165,부안,51244,25466,25778,53295,26473,26822
166,목포,219944,109535,110409,229861,114565,115296
167,여수,277752,141667,136085,282786,143791,138995
168,순천,281878,140664,141214,279598,139324,140274
169,나주,116670,58844,57826,114664,57668,56996
170,광양,150643,78647,71996,156750,81365,75385
